race,year,round,session,event,status,laps_rows,stream_rows,seconds,warnings,error
2025_18_singapore_grand_prix_R,2025,18,R,Singapore Grand Prix,OK,1229,28347,23.7,fastf1.api WARNING Driver  3: Position data is incomplete! | fastf1.api WARNING Driver 11: Position data is incomplete! | fastf1.api WARNING Driver 20: Position data is incomplete! | fastf1.api WARNING Driver 24: Position data is incomplete! | fastf1.api WARNING Driver 77: Position data is incomplete! | fastf1.api WARNING Driver  5: Position data is incomplete! | fastf1.api WARNING Driver  6: Position data is incomplete! | fastf1.api WARNING Driver 12: Position data is incomplete! | fastf1.api WARNING Driver 30: Position data is incomplete! | fastf1.api WARNING Driver 87: Position data is incomplete!,
2025_19_united_states_grand_prix_R,2025,19,R,United States Grand Prix,OK,1067,22579,24.1,,
2025_19_united_states_grand_prix_S,2025,19,S,United States Grand Prix,OK,320,6689,16.5,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '43' | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_20_mexico_city_grand_prix_R,2025,20,R,Mexico City Grand Prix,OK,1263,26748,25.0,,
2025_21_s_o_paulo_grand_prix_R,2025,21,R,São Paulo Grand Prix,OK,1251,25268,23.2,fastf1.fastf1.core WARNING Driver 4 completed the race distance 00:00.010000 before the recorded end of the session. | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_21_s_o_paulo_grand_prix_S,2025,21,S,São Paulo Grand Prix,OK,444,8778,17.8,fastf1.api WARNING Driver 11: Car data is incomplete! | fastf1.api WARNING Driver 24: Car data is incomplete! | fastf1.api WARNING Driver 50: Car data is incomplete! | fastf1.api WARNING Driver 77: Car data is incomplete! | fastf1.api WARNING Driver  5: Car data is incomplete! | fastf1.api WARNING Driver  6: Car data is incomplete! | fastf1.api WARNING Driver 12: Car data is incomplete! | fastf1.api WARNING Driver 87: Car data is incomplete! | fastf1.api WARNING Driver 11: Position data is incomplete! | fastf1.api WARNING Driver 24: Position data is incomplete! | fastf1.api WARNING Driver 50: Position data is incomplete! | fastf1.api WARNING Driver 77: Position data is incomplete! | fastf1.api WARNING Driver  5: Position data is incomplete! | fastf1.api WARNING Driver  6: Position data is incomplete! | fastf1.api WARNING Driver 12: Position data is incomplete! | fastf1.api WARNING Driver 87: Position data is incomplete! | fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_22_las_vegas_grand_prix_R,2025,22,R,Las Vegas Grand Prix,OK,886,17819,22.9,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '63' | fastf1.api WARNING Driver 11: Car data is incomplete! | fastf1.api WARNING Driver 20: Car data is incomplete! | fastf1.api WARNING Driver 24: Car data is incomplete! | fastf1.api WARNING Driver 77: Car data is incomplete! | fastf1.api WARNING Driver  5: Car data is incomplete! | fastf1.api WARNING Driver  6: Car data is incomplete! | fastf1.api WARNING Driver 12: Car data is incomplete! | fastf1.api WARNING Driver 87: Car data is incomplete! | fastf1.api WARNING Driver 11: Position data is incomplete! | fastf1.api WARNING Driver 20: Position data is incomplete! | fastf1.api WARNING Driver 24: Position data is incomplete! | fastf1.api WARNING Driver 77: Position data is incomplete! | fastf1.api WARNING Driver  5: Position data is incomplete! | fastf1.api WARNING Driver  6: Position data is incomplete! | fastf1.api WARNING Driver 12: Position data is incomplete! | fastf1.api WARNING Driver 87: Position data is incomplete!,
2025_23_qatar_grand_prix_R,2025,23,R,Qatar Grand Prix,OK,1067,24600,24.5,fastf1.api WARNING Driver 241: Position data is incomplete! | fastf1.api WARNING Driver 242: Position data is incomplete! | fastf1.api WARNING Driver 243: Position data is incomplete!,
2025_23_qatar_grand_prix_S,2025,23,S,Qatar Grand Prix,OK,380,8837,15.6,fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '4' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '1' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '22' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '12' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '14' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '6' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '23' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '5' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '16' | fastf1.fastf1.core WARNING Fixed incorrect tyre stint information for driver '10' | fastf1.api WARNING Driver 11: Position data is incomplete! | fastf1.api WARNING Driver 20: Position data is incomplete! | fastf1.api WARNING Driver 24: Position data is incomplete! | fastf1.api WARNING Driver 77: Position data is incomplete! | fastf1.api WARNING Driver  5: Position data is incomplete! | fastf1.api WARNING Driver  6: Position data is incomplete! | fastf1.api WARNING Driver 12: Position data is incomplete! | fastf1.api WARNING Driver 87: Position data is incomplete!,
2025_24_abu_dhabi_grand_prix_R,2025,24,R,Abu Dhabi Grand Prix,OK,1156,26937,22.6,,
